shop                                                        ,datetime            ,price_reg ,price_promo ,article ,name                                                                                            ,category_path
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:52 ,    11339 ,      11339 ,в2254   ,"Коньяк ""Hennessy"" V.S.O.P., with gift box,  1 л"                                             ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:53 ,    21189 ,      21189 ,в2255   ,"Коньяк ""Hennessy"" V.S.O.P, with gift box,  1.5 л"                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:53 ,    22249 ,      22249 ,в2256   ,"Коньяк Hennessy V.S.O.P with gift box,  3 л"                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:54 ,     4017 ,       4017 ,в5689   ,"Коньяк ""Hennessy"" V.S.O.P, with gift box,  350 мл"                                           ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:54 ,     8893 ,       8893 ,в44885  ,"Коньяк ""Hennessy"" V.S.O.P., with gift box,  0.5 л"                                           ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:08 ,      425 ,        425 ,в193386 ,"Сидр Vasileostrovskaya Pivovarnya, ""La Valle du Cidre"" Rose Semi-Sweet,  0.75 л"             ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:08 ,      423 ,        423 ,в146106 ,"Вино Инкерман, Каберне,  0.7 л"                                                                ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:12 ,      363 ,        363 ,в141861 ,"Ликер ""Шуйская"" Вишня на Коньяке,  0.5 л"                                                    ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:10 ,     2499 ,       2499 ,в33701  ,"Аперитив ""Aperol"",  1 л"                                                                     ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:11 ,     1850 ,       1850 ,в16633  ,"Аперитив ""Aperol"",  0.7 л"                                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:12 ,     3815 ,       3815 ,в43620  ,"Аперитив ""Aperol"",  3 л"                                                                     ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:14 ,     1610 ,       1610 ,в179444 ,"Аперитив ""Aperol"",  350 мл"                                                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:15 ,     1488 ,       1488 ,в250390 ,"Аперитив ""Aperol"",  375 мл"                                                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:10 ,     1960 ,       1960 ,в210538 ,"Вино ""Arco Bay"" Sauvignon Blanc, Marlborough, 2022 "                                         ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:18 ,     2378 ,       2378 ,в245134 ,"Вино ""Arco Bay"" Sauvignon Blanc, Marlborough, 2023 "                                         ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:24 ,      911 ,        911 ,в175924 ,"Вино ""Arco Bay"" Sauvignon Blanc, Marlborough, 2020 "                                         ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:23 ,      850 ,        850 ,в165356 ,"Вино ""Orran"" Areni & Malbec Dry "                                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:24 ,      354 ,        354 ,в228057 ,"Вино ""Orran"" Areni & Malbec Dry,  187 мл"                                                    ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:20 ,     2259 ,       2259 ,в61738  ,"Вино Lenz Moser, Gruner Veltliner,  1 л"                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:26 ,     1124 ,       1124 ,в156469 ,"Вино Lenz Moser, Gruner Veltliner "                                                            ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:18:29 ,     1006 ,       1006 ,в109296 ,"Водка ""Jinro"" Grapefruit Soju,  360 мл"                                                      ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
