shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:15 ,     3290 ,       3090 ,в2937   ,"Водка ""Белуга"" Нобл,  1 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:16 ,      409 ,        409 ,в51059  ,"Водка ""Белуга"" Нобл,  50 мл"                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:17 ,     4349 ,       4349 ,в117524 ,"Водка ""Белуга"" Нобл,  1.5 л"                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:17 ,     1099 ,       1099 ,в139340 ,"Водка ""Белуга"" Нобл,  375 мл"                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:19 ,    12490 ,      12490 ,в191625 ,"Водка ""Белуга"" Нобл,  3 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:20 ,     2550 ,       2550 ,в195851 ,"Водка ""Белуга"" Нобл,  0.75 л"                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:22 ,     4590 ,       4590 ,в195852 ,"Водка ""Белуга"" Нобл,  1.75 л"                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:29 ,     1949 ,       1049 ,в85584  ,"Коньяк ""Ной Традиционный"" 7-летний,  0.5 л"                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:33 ,     1729 ,       1399 ,в4666   ,"Ликер ""Mozart"" Chocolate Cream,  0.5 л"                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:38 ,      539 ,        539 ,в211939 ,"Ликер ""Mozart"" Chocolate Cream,  50 мл"                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:31 ,     4849 ,       4490 ,в230568 ,"Джин Tanqueray, ""No. Ten"",  0.7 л"                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:36 ,     4949 ,       4949 ,в4364   ,"Джин Tanqueray, ""No. Ten"",  0.75 л"                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:41 ,     2090 ,       2090 ,в71263  ,"Джин Tanqueray ""No. Ten"",  1 л"                                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:47 ,     4530 ,       3670 ,в136764 ,"Джин ""Malfy"" Con Arancia,  0.7 л"                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:50 ,     2299 ,       1949 ,в247779 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2019 "                                ,
