shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                                          ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:44 ,     1599 ,       1599 ,в243540 ,"Вино ""La Calla"" Pinot Nero, Provincia di Pavia IGT, 2022 "                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:27 ,     1399 ,       1399 ,в248239 ,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2023 "                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:31 ,     1309 ,       1309 ,в124954 ,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2018 "                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:33 ,     1329 ,       1329 ,в184081 ,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2020 "                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:37 ,     1290 ,       1290 ,в196230 ,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2021 "                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:44 ,     1199 ,       1199 ,в227166 ,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2022 "                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:45 ,     1599 ,       1299 ,в247788 ,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2023 "                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:48 ,     1129 ,       1129 ,в124958 ,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2018 "                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:51 ,     1709 ,       1709 ,в184077 ,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2019 "                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:53 ,     1709 ,       1709 ,в194256 ,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2021 "                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:51 ,     1999 ,       1999 ,в243538 ,"Вино Gunter Wenzl, Riesling, 2023 "                                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:55 ,     1899 ,       1899 ,в211755 ,"Вино Gunter Wenzl, Riesling, 2022 "                                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:51 ,     4790 ,       4790 ,в235542 ,"Вино Ramirez de la Piscina, Gran Reserva, Rioja DOCa, 2016 "                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:55 ,     3990 ,       3990 ,в211761 ,"Вино Ramirez de la Piscina, Gran Reserva, Rioja DOCa, 2014 "                                                 ,
